Stkcd,Year,Fn05601,Fn05602,var_5,var_6,Sum,test,Test
002490,2012.0,收到寿光市财政局的技术研发补助资金,15000000.0,49141000.0,0.0,49141000.0,1,1
603880,2022.0,与收益相关的政府补助其中：西太湖产业园加快工业经济创新发展扶持政策专项资金,605000.0,4440677.41,0.0,3949356.0,0,0
603017,2019.0,政府补助其中：重庆市江北财政国库中心创新驱动专项资助,322850.0,22822868.18,17347134.4,22822870.0,0,1
000626,2011.0,天津远大天一化工有限公司支持企业发展基金,226225.0,22441459.32,0.0,22441459.0,1,1
300650,2022.0,市场开拓经费,29462.0,3271270.69,0.0,3271270.0,0,1
688408,2022.0,市级企业信息化项目（投入类）,94800.0,50008738.76,24888643.63,50008739.0,1,1
600249,2016.0,节能、技改扶持及奖励,1203333.0,11670983.85,0.0,11670983.0,0,1
300324,2019.0,中共北京市海淀区委海淀园工作委员会党委会经费,3000.0,19018864.56,0.0,19018865.0,1,1
000731,2011.0,产业扶持资金,3508228.0,7282475.66,0.0,7282476.0,1,1
002250,2018.0,创优考核奖1,200000.0,21921365.58,20627848.12,21921366.0,1,1
600405,2021.0,物联网大数据架构的5G基站能效管控补贴,1200000.0,15897821.67,0.0,15897821.0,0,1
000999,2019.0,财政贡献奖,60785100.0,202278626.4,0.0,202278626.39,1,1
002128,2018.0,大汽污染防治资金,80717.0,20920328.51,0.0,18326386.0,0,0
300596,2022.0,2022年高质量知识产权创造试点,100000.0,27801716.92,0.0,27801716.0,0,1
000026,2014.0,第十五届中国专利奖奖励款,5000.0,10344542.0,0.0,10344542.0,1,1
603906,2023.0,中小微企业疫情期间就近采购技改设备补助收入,46300.0,80258661.65,234543.36,80258659.0,0,1
600979,2019.0,广前路响水河至火车站段空输电线路下地工程补贴资金,40631.0,31772081.74,0.0,31772083.0,0,1
688199,2023.0,本期转入其他收益其中：湖南省工信厅--制造强省专项资金,40000.0,13056605.42,12226605.42,2954942.0,0,0
301550,2023.0,与收益相关的政府补助,3608507.0,4340657.52,0.0,4340657.0,0,1
002430,2010.0,工业信息化财政资助2,11800.0,13196818.5,0.0,12985701.0,0,0
002478,2010.0,工业科技攻关专项资金,200000.0,8497039.88,0.0,8497040.0,1,1
000733,2018.0,科创委2017年企业研究开发资助计划第二批资助资金,1495000.0,99749400.84,0.0,99749400.0,0,1
600213,2018.0,基建设施收益,100000.0,7653304.32,0.0,7653304.0,1,1
601677,2023.0,纾困帮扶-企业经济贡献补贴,74355.0,480791183.1,0.0,480791183.0,1,1
600031,2014.0,其他,1173000.0,379978000.0,0.0,379978000.0,1,1
600217,2021.0,城市矿产示范基地,806723.0,65214122.09,0.0,65214123.0,0,1
002552,2022.0,高耐热高CTI低热阻覆铜板技改项目（《关于2020年工业转型升级专项（第二批）资金安排的请示》铜经信产业〔2020〕224号）,11126.0,14705821.72,0.0,14705822.0,1,1
000999,2009.0,其他,1245860.0,13046507.75,0.0,13046508.0,1,1
301215,2022.0,产业振兴和技术改造2014年中央预算内投资补助（盐城试验场一期基本建设项目）,1428571.0,21374170.48,0.0,21374170.0,1,1
002626,2018.0,海沧区科学技术局：发明专利奖励1,7000.0,39882179.08,39701704.13,39780295.0,0,1
600132,2011.0,财政补贴,15000000.0,22882833.62,0.0,22882834.0,1,1
688096,2023.0,2021年市研发机构绩效评价奖励,300000.0,10773109.9,0.0,10773110.0,1,1
600192,2016.0,2015年度国家级信息化和工业化融合管理体系贯标试点企业,100000.0,27116421.32,0.0,27116422.0,0,1
301018,2023.0,绿色数据中心精密环境控制设备产业化项目,179345.0,16327574.84,45500.0,16327575.0,1,1
002474,2015.0,关于下达2014年第二批软件产业发展专项资金的通知,423077.0,9490218.89,0.0,9490218.0,0,1
000960,2019.0,其他政府补贴,1077900.0,58066416.61,0.0,58066417.0,1,1
